state,median_income,comments
Alabama,47221,"The median income being $47k, the house prices shows in low range and college prices shows a rising trend."
Arizona,57100,"The median income being $57k, the house prices shows a decent growth in low range and college prices shows a constant trend."
Arkansas,45907,"The median income being $46k, the house prices shows in low range and college prices shows a constant trend."
California,66637,"The median income being $66k, the house prices shows a maximum growth and college prices shows a constant trend."
Colorado,70566,"The median income being $70k, the house prices shows a decent growth and college prices shows a constant trend."
Connecticut,75923,"The median income being $75k, the house prices shows a decent growth and college prices shows a constant growing trend."
Delaware,58046,"The median income being $58k, the house prices shows a medium growth in low range and college prices shows a constant trend."
D.C.,70982,The median income is around $71k
Florida,51176,"The median income being $51k, the house prices shows a very low growth and college prices shows a constant downward trend."
Georgia,53527,"The median income being $53k, the house prices shows a very low growth and college prices shows a constant downward trend."
Hawaii,72133,NA
Idaho,56564,"The median income being $56k, the house prices shows a  growth in low range and college prices shows a constant trend."
Illinois,61386,"The median income being $61k, the house prices shows a minimum growth and college prices shows a constant trend in higher range."
Indiana,56094,"The median income being $56k, the house prices shows a decent growth in low range and college prices shows a constant  trend."
Iowa,59094,"The median income being $59k, the house prices shows a medium growth in low range and college prices shows a constant trend."
Kansas,56810,"The median income being $56k, the house prices shows a constant in low range and college prices shows a growing trend."
Kentucky,45369,"The median income being $56k, the house prices shows a decent growth in low range and college prices shows a constant grow trend."
Louisiana,42196,"The median income being $42k, the house prices shows in low range and college prices shows a rising trend."
Maine,50856,"The median income being $50k, the house prices shows a very low growth and college prices shows a constant trend."
Maryland,73760,"The median income being $73k, the house prices shows a decent growth and college prices shows a constant trend."
Massachusetts,72266,"The median income being $72k, the house prices shows a decent growth and college prices shows a constant trend."
Michigan,57091,"The median income being $57k, the house prices shows a decent growth in low range and college prices shows a constant trend."
Minnesota,70218,"The median income being $70k, the house prices shows a decent growth and college prices shows a constant trend."
Mississippi,41099,"The median income being $41k, the house prices shows in low range and college prices shows a rising trend."
Missouri,55016,"The median income being $55k, the house prices shows a decent low range and college prices shows a constant trend."
Montana,57075,"The median income being $57k, the house prices shows a decent growth in low range and college prices shows a constant trend."
Nebraska,59374,"The median income being $59k, the house prices shows a medium growth and college prices shows a constant trend."
Nevada,55431,"The median income being $55k, the house prices shows a decent growth and college prices shows a constant trend."
New Hampshire,76260,"The median income being $73k, the house prices shows a decent growth and college prices shows a constant trend in the highest level."
New Jersey,68468,"The median income being $67k, the house prices shows a decent growth in low range and college prices shows a constant trend in the higher level."
New Mexico,48451,"The median income being $48k, the house prices shows a constant in low range and college prices shows a constant trend."
New York,61437,"The median income being $61k, the house prices shows a constant growth and college prices shows a constant trend."
North Carolina,53764,"The median income being $53k, the house prices shows a decent low range and college prices shows a constant trend."
North Dakota,60184,"The median income being $60k, the house prices shows a constant trend and college prices also shows a constant trend in the medium level."
Ohio,53985,"The median income being $54k, the house prices shows a very low growth and college prices shows a constant  trend."
Oklahoma,50943,"The median income being $51k, the house prices shows a very low growth and college prices shows a constant trend."
Oregon,59135,"The median income being $59k, the house prices shows a medium growth and college prices shows a constant trend."
Pennsylvania,60979,"The median income being $60k, the house prices shows a medium growth in low range and college prices shows a constant trend in highest level."
Rhode Island,61528,"The median income being $61k, the house prices shows a constant growth and college prices shows a constant rising trend."
South Carolina,54336,"The median income being $54k, the house prices shows a very low growth and college prices shows a constant  trend in the high level."
South Dakota,57450,"The median income being $57k, the house prices shows a constant in low range and college prices also shows a constant trend."
Tennessee,51344,"The median income being $51k, the house prices shows a very low growth and college prices shows a constant upward trend."
Texas,58146,"The median income being $58k, the house prices shows a growth in low range and college prices shows a constant trend."
Utah,67481,"The median income being $67k, the house prices shows a decent growth in low range and college prices shows a constant trend."
Vermont,60837,"The median income being $60k, the house prices shows a falling trend in low range and college prices shows a constant soring at the highest level."
Virginia,66451,"The median income being $66k, the house prices shows a constant in low range and college prices shows a growing trend."
Washington,70310,"The median income being $70k, the house prices shows a decent growth and college prices shows a downward trend."
West Virginia,44354,"The median income being $44k, the house prices shows in low range and college prices shows a rising trend."
Wisconsin,59817,"The median income being $59k, the house prices shows a growth in low range and college prices shows a downward trend."
Wyoming,57829,"The median income being $57k, the house prices shows a constant in low range and college prices shows a constant trend."
